tamil,english
இதழ்,Magazine
ஒரு,A
என்று,That
இந்த,This
மற்றும்,and
கதை,Story
வேண்டும்,Want
சிறுகதை,Short story
இது,This
கதைகள்,Stories
என்ற,Of
என,As
மே,May
முதல்,First
அவர்,He
தமிழ்,Tamil
அந்த,That
ஆனால்,But
மேலும்,More
உள்ள,In
பற்றி,About
என்பது,is
என்ன,What
இந்திய,Indian
என்,My
அரசு,Government
இருந்து,From
காதல்,Love
தான்,Just
பல,Many
என்றால்,If
மக்கள்,People
இருக்கும்,Will be
கடந்த,Past
ஆம்,Yes
ஆர்,R
சிறுகதைப்,Short story
சில,Some
அது,That
உள்ளது,There is
சிறுகதைகள்,Short stories
கதையாசிரியர்கள்,Storytellers
கொண்டு,With
ஆண்டு,Year
இல்லை,No
குமார்,Kumar
அறிவியல்,Science
அல்லது,Or
வரும்,Coming
செய்து,Done
தேதி,Date
இப்படி,Like this
மூலம்,By
சிறப்பு,Special
அவர்கள்,They
மார்ச்,March
ஏப்ரல்,April
கடிதம்,Letter
அக்டோபர்,October
அதன்,Its
ஜூன்,June
ஜனவரி,January
அரசியல்,Politics
குடும்பம்,Family
ஜூலை,July
வரை,Until
ஆகஸ்ட்,August
கண்ணன்,Kannan
தி,The
பிப்ரவரி,February
பெரிய,Big
பி,B
கட்டுரை,Article
சி,C
நவம்பர்,November
டிசம்பர்,December
செப்டம்பர்,September
தனது,His
அப்பா,Dad
படிக்க,Read
இன்று,Today
உலக,World
எப்படி,How
மத்திய,Central
கதைகளில்,In stories
மகள்,Daughter
சிறப்பிதழ்,Special issue
போன்ற,Like
போது,When
இரா,Night
குறித்து,Regarding
மாதம்,Month
புதிய,New
சொல்வனம்,Solvanam
சென்னை,Chennai
வந்து,Come
இரண்டு,Two
ரூ,Rs.
செய்ய,To do
தலைவர்,Leader
தொடர்ந்து,Continued
பேய்,Ghost
தமிழக,Tamil Nadu
நேற்று,Yesterday
என்றும்,Forever
தத்துவ,Philosophy
தன்,His
பிறகு,Then
அடுத்தநாள்,The next day
அப்பாவா,Father
முதலிரவுக்கு,For the first night
இதில்,In which
நல்ல,Good
ஊராட்சி,Panchayat
ஆகும்,It is
அதிகம்,More
நிலையில்,In the position
சொன்ன,Said
அவரது,His
மழை,Rain
இவர்,This one
எந்த,Which
நாம்,We
ஒன்று,One
இருந்தது,Was
நகைச்சுவை,Comedy
இருக்கிறது,There is
என்றார்,Said
இருந்த,Was
மணி,Hour
எழுத்துக்கலைபற்றி,About calligraphy
சுஜாதா,Sujatha
மட்டுமே,Only
சேர்ந்த,Belonged to
பேர்,People
மட்டும்,Only
இசை,Music
வருகிறது,Coming
அதை,That
காமம்,Lust
கதைப்பதிவு,Storyboard
பின்னர்,Then
முடியும்,Can
ஓர்,Or
எனக்கு,For me
அவன்,He
மீது,On
ஜெயமோகன்,Jayamohan
கொண்ட,With
பெண்கள்,Women
வந்த,Arrived
குழு,Group
ராஜா,King
தேர்வு,Exam
நாள்,Day
ல்,In
ஜான்,John
தற்போது,Currently
இதனால்,Thus
மிகவும்,Very
இதழ்கள்,Magazines
கவிதை,Poetry
கொத்தனார்,Bricklayer
நேரம்,Time
பல்வேறு,Various
தகவல்,Information
அசோகமித்திரன்,Ashoka Mittra
இலக்கியம்,Literature
இருக்க,To be
என்பதை,Whether
ஆகிய,Those
என்னும்,That
கூட,Even
சென்று,Go
இராஜேஸ்வரி,Rajeshwari
கல்வி,Education
சமூக,Social
அதில்,In it
ஆனந்த்,Anand
நன்றி,Thank you
ஜானகிராமன்,Janakiraman
இந்தியா,India
இன்னும்,Still
இதன்,This
பயணம்,Travel
எனவே,So
அவள்,She
உள்ளிட்ட,Included
மூன்று,Three
தேர்தல்,Election
இவர்க,This is
பெண்,Woman
உள்ளன,There are
இரு,Be
கதையை,Story
அனைத்து,All
ஒரே,Only
முடியாது,Can't
அகிலன்,Akilan
போல,Like
தேவி,Goddess
கோயில்,Temple
வேலை,Work
வகையில்,In category
இந்தப்,This
துறை,Department
அப்போது,Then
படம்,Image
பகுதியில்,In the area
அடுத்த,Next
முறை,Method
வேறு,Other
இப்போது,Now
தேசிய,National
ஒவ்வொரு,Every
கோடி,crore
செந்தில்,Senthil
வைத்து,Put
ஒருவர்,One
பாலா,Bala
அதிக,More
உங்கள்,Your
நீங்கள்,You
வரலாறு,History
மீண்டும்,Again
ராமசாமி,Ramasamy
முக்கிய,Main
மிக,Very
வெற்றி,Success
தொழில்,Career
அமைச்சர்,Minister
இல்,In
சிறு,Small
மாவட்டம்,District
எல்லாம்,Everything
அறிமுகம்,Introduction